date,time,city,temperature_C,feels_like_C,weatherDescription,humidity,pressure_mmhg,pressure_gpa
2025-04-11,20:52:33,kyiv,3,2,Partly cloudy,58,756.81,1009
2025-04-11,21:02:32,kyiv,3,2,Partly cloudy,58,756.81,1009
